,Area_km2,Perimeter_km,Basin_Length_km,Drainage_Density_Dd,Stream_Frequency_Fs,Texture_Ratio_T,Form_Factor_Ff,Elongation_Ratio_Re,Circularity_Ratio_Rc,Compactness_Cc,LengthOverlandFlow_Lg,ChannelMaintenance_C,Basin_Relief_H_m,Relief_Ratio_Rh,Relative_Relief,Ruggedness_Rn,Melton_MRN,Hypsometric_HI,Slope_Mean_deg,TRI_Mean,Rbm
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
mean,104.04913333333333,63.43936666666667,9.348,3.0925333333333334,11.630899999999999,17.994033333333334,1.128,1.1984,0.3081,1.8016666666666665,0.16193333333333335,0.3238333333333333,953.0,0.10893033333333334,16.069966666666666,2.9472,102.5643,0.26190000772476196,13.302333333333335,19.962666666666667,2.0260000000000002
std,53.57322650040161,18.414837551912676,2.6993308078114473,0.14805527121090056,0.8169709664363841,4.888696646687472,0.0,0.0,0.0034394767043839456,0.010072900939318927,0.00756130500200417,0.015179042569718746,0.0,0.03646584034865141,5.439024326414926,0.14110021261500635,34.33440813047459,0.0,1.0159263424743612,2.058716185717044,0.42804615405350843
min,45.1921,42.7535,6.3296,2.9794,10.7889,12.3499,1.128,1.1984,0.3042,1.7941,0.1534,0.3067,953.0,0.08265,12.2108,2.8394,77.8201,0.26190000772476196,12.13,17.663,1.7626
25%,81.089,56.13615,8.25675,3.00875,11.2362,16.54065,1.128,1.1984,0.3068,1.79595,0.159,0.31794999999999995,953.0,0.0881145,12.95965,2.86735,82.96515,0.26190000772476196,12.991,19.127000000000002,1.77905
50%,116.9859,69.5188,10.1839,3.0381,11.6835,20.7314,1.128,1.1984,0.3094,1.7978,0.1646,0.3292,953.0,0.093579,13.7085,2.8953,88.1102,0.26190000772476196,13.852,20.591,1.7955
75%,133.47765,73.78229999999999,10.857199999999999,3.1491,12.0519,20.8161,1.128,1.1984,0.31005,1.80545,0.16620000000000001,0.33240000000000003,953.0,0.1220705,17.99955,3.0011,114.93639999999999,0.26190000772476196,13.8885,21.1125,2.1577
max,149.9694,78.0458,11.5305,3.2601,12.4203,20.9008,1.128,1.1984,0.3107,1.8131,0.1678,0.3356,953.0,0.150562,22.2906,3.1069,141.7626,0.26190000772476196,13.925,21.634,2.5199
Mean,104.04913333333333,63.43936666666667,9.348,3.0925333333333334,11.630899999999999,17.994033333333334,1.128,1.1984,0.3081,1.8016666666666665,0.16193333333333335,0.3238333333333333,953.0,0.10893033333333334,16.069966666666666,2.9472,102.5643,0.26190000772476196,13.302333333333335,19.962666666666667,2.0260000000000002
Median,116.9859,69.5188,10.1839,3.0381,11.6835,20.7314,1.128,1.1984,0.3094,1.7978,0.1646,0.3292,953.0,0.093579,13.7085,2.8953,88.1102,0.26190000772476196,13.852,20.591,1.7955
Std,53.57322650040161,18.414837551912676,2.6993308078114473,0.14805527121090056,0.8169709664363841,4.888696646687472,0.0,0.0,0.0034394767043839456,0.010072900939318927,0.00756130500200417,0.015179042569718746,0.0,0.03646584034865141,5.439024326414926,0.14110021261500635,34.33440813047459,0.0,1.0159263424743612,2.058716185717044,0.42804615405350843
CV%,51.48839282377647,29.02746121138138,28.876024901705684,4.787507691996871,7.024142297125624,27.168431646902242,0.0,0.0,1.1163507641622672,0.5590879337272301,4.66939378468763,4.687300844998069,0.0,33.476295566877376,33.8458967540791,4.787602219564548,33.47598348594452,0.0,7.637204068015844,10.312831547473838,21.12764827509913
Skewness,-0.4177553246279656,-0.5403985993787046,-0.5143442916180426,0.5841285182357644,-0.11779096447971059,-0.7061517361944971,,,-0.5951700641394816,0.6012947362207375,-0.5673165779937326,-0.5683340653566945,,0.6363249891390808,0.6472675619011082,0.5843121526088836,0.6363263353102728,,-0.7030016684420907,-0.5084702133124712,0.7024102123321276
Kurtosis,-1.5000000000000002,-1.4999999999999993,-1.4999999999999998,-1.5,-1.5000000000000009,-1.4999999999999993,,,-1.500000000000016,-1.4999999999999567,-1.4999999999999967,-1.5000000000000038,,-1.5,-1.4999999999999991,-1.5,-1.5000000000000002,,-1.4999999999999964,-1.5000000000000002,-1.5000000000000027
