,PC1,PC2,PC3
Area_km2,-0.1872333732318322,-0.2561570185989477,0.8467204953659643
Perimeter_km,-0.2035930219006112,-0.23760612385827687,-0.13870048199360918
Basin_Length_km,-0.26443173341892906,-0.12515876605110365,-0.030390865524382943
Drainage_Density_Dd,-0.2078096171422632,0.2323176884408636,-0.04225334357504273
Stream_Frequency_Fs,-0.12146224545932498,0.3077383879586949,0.08742367114199504
Texture_Ratio_T,-0.23940220415770996,-0.18365966697862227,-0.077264507802405
Form_Factor_Ff,0.2053645210949165,-0.2354119698959372,-0.10962525509266718
Elongation_Ratio_Re,0.20935011894343827,-0.23032773923960148,-0.033836408634698424
Circularity_Ratio_Rc,0.27010444455521365,-0.10639868629235845,-0.051952345144033726
Compactness_Cc,-0.2696190352588412,0.1081480621721392,-0.17555169574988705
LengthOverlandFlow_Lg,0.20434421505467326,-0.23668051019782513,0.042478923579336296
ChannelMaintenance_C,0.2041485987739144,-0.23692222368701976,-0.10953577511227611
Basin_Relief_H_m,-0.2714881188240776,-0.1012279894421382,-0.16546714239940846
Relief_Ratio_Rh,0.25467516182189187,0.15139492449798095,0.20241731726050166
Relative_Relief,0.20474515838061308,0.23618358557430685,-0.02417674696398394
Ruggedness_Rn,-0.28056678349714015,0.055380640844563206,0.014606343989510287
Melton_MRN,0.20215624324180587,0.23935713277027207,-0.020774744452606055
Hypsometric_HI,0.2831169086470771,-0.03174430787400468,0.09051320250947711
Slope_Mean_deg,0.005802612519790359,0.34027925687516186,0.31902028713604175
TRI_Mean,-0.0762938603602868,0.3278709868406741,-0.08600992815562694
Rbm,0.1927477135633769,0.25022913876327474,-0.008743660615464489
