order,basin_id,Nu,Lu,Lsm,Rb,RL
1,SB1,728,205576.7485834303,282.38564365855814,2.044943820224719,
2,SB1,356,90099.86939201431,253.08952076408514,2.08187134502924,0.8962549139718451
3,SB1,171,46390.995005564575,271.292368453594,1.1875,1.0719225657172762
4,SB1,144,29365.602999116778,203.92779860497762,3.2,0.7516901406677813
5,SB1,45,7702.083457727974,171.15741017173275,3.75,0.8393039661222284
6,SB1,12,2859.8854641902685,238.32378868252238,,1.3924246016774704
1,SB2,271,68765.16202554974,253.7459853341319,2.2583333333333333,
2,SB2,120,31291.09329020775,260.75911075173127,1.6901408450704225,1.0276383699563345
3,SB2,71,18227.480695012855,256.72508021144864,1.7317073170731707,0.9845296659869215
4,SB2,41,11344.938638520312,276.70582045171494,1.5185185185185186,1.0778293270911024
5,SB2,27,8300.078205242995,307.4103038978887,13.5,1.1109643570057526
6,SB2,2,44.38707692452243,22.193538462261216,,0.0721951677639054
1,SB3,829,234982.3868891244,283.45281892536116,2.504531722054381,
2,SB3,331,96697.00229869116,292.13595860631773,1.5045454545454546,1.030633456791421
3,SB3,220,53369.535200274666,242.58879636488484,2.1782178217821784,0.8303969067080762
4,SB3,101,24494.539544078143,242.5201935057242,2.1041666666666665,0.9997172051628573
5,SB3,48,12164.241413256263,253.42169610950546,0.5106382978723404,1.0449509067521174
6,SB3,94,25504.18167929856,271.3210816946655,,1.0706308333499022
